signal_id,date,state,municipality,doc_type,board,vendor_raw,vendor_resolved,ticker,amount_usd,signal_priority,category
SIG-038,2026-02-23,ID,Town BB,check_register,Finance,VEOLIA WATER NORTH AMERICA,Veolia,VEOEY,11200.00,HIGH,Water treatment
SIG-039,2026-02-22,ME,Town CC,agenda,Conservation Commission,,,,0.00,MEDIUM,Wetland buffer ordinance
SIG-040,2026-02-22,CT,Town DD,check_register,Finance,EATON CORPORATION,Eaton,ETN,3456.00,HIGH,Electrical equipment
SIG-041,2026-02-21,ME,Town EE,minutes,Select Board,,,,0.00,HIGH,Tower lease renewal American Tower
SIG-042,2026-02-21,IL,Geneva,check_register,Finance,MENARDS,Menard Inc (private),PRIVATE,876.54,LOW,Building materials
SIG-043,2026-02-20,VT,Town FF,agenda,Housing Committee,,,,0.00,MEDIUM,Inclusionary zoning proposal
SIG-044,2026-02-20,ME,Town GG,check_register,Finance,CLEAN HARBORS INC,Clean Harbors,CLH,7890.00,HIGH,Environmental services
SIG-045,2026-02-19,NH,Town HH,permit,Building,NATIONAL CONTRACTOR E,REDACTED,REDACTED,0.00,MEDIUM,Commercial renovation
SIG-046,2026-02-19,ID,Town II,minutes,Airport Commission,,,,0.00,MEDIUM,Hangar lease amendment
SIG-047,2026-02-18,ME,Town JJ,check_register,Finance,TETRA TECH INC,Tetra Tech,TTEK,18900.00,HIGH,Environmental consulting
SIG-048,2026-02-18,IL,Town KK,agenda,Village Board,,,,0.00,HIGH,Water main replacement bond
SIG-049,2026-02-17,MA,Town LL,minutes,Conservation Commission,,,,0.00,LOW,Stormwater management
SIG-050,2026-02-17,ME,Town MM,check_register,Finance,JACOBS ENGINEERING,Jacobs Solutions,J,25600.00,HIGH,Engineering services
