municipality,doc_type,priority,source_layer,summary,monetary_amounts,detected_at,risk_category
Concord,agenda,HIGH,municipal_scraper,"The Concord City Council agenda for March 9, 2026, features several items relevant to investment vectors. Key proposals include appropriations for facility improvements and vehicle replacement, an ord","[""$385,000"", ""$526,968"", ""$421,574"", ""$105,394"", ""$5,000"", ""$3,073.66"", ""$7.00"", ""$1,980.00"", ""$15,000"", ""$84,000""]",2026-03-20T03:31:40.482268,water_infrastructure
Concord,minutes,HIGH,municipal_scraper,"Concord's City Council has set priorities for 2026-2027, focusing on fiscal responsibility, economic development through infrastructure investment (water, sewer, roads), and asset management. Key init",[],2026-03-20T03:31:40.482268,water_infrastructure
Concord,agenda,MEDIUM,municipal_scraper,"The Concord Fiscal Policy Advisory Committee agenda for February 17, 2026, includes discussions on C-PACER adoption, signaling a potential expansion in clean energy financing, and a review of year-to-",[],2026-03-20T03:31:40.482268,capital_projects
Melrose,document,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for a proposed 305 ft AGL tower in Melrose, WI, by Boldyn US, signals planned infrastructure development. The filing indicates potential future construction proj",[],2026-03-20T03:31:40.482268,capital_projects
Denton,notice,MEDIUM,faa_tower_filings,"This FAA Tower Filing for Denton, TX, indicates a proposed High Powered DME Antenna construction project. The filing, dated March 19, 2026, requires at least 45 days notice before construction begins,",[],2026-03-20T03:31:40.482268,capital_projects
Hurley,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Hurley, WI, indicates planned tower/antenna construction by SBA TOWERS. The filing, dated March 19, 2026, signals potential infrastructure development and re",[],2026-03-20T03:31:40.482268,capital_projects
Menomonee Falls,document,MEDIUM,faa_tower_filings,"This FAA Tower Filing for Menomonee Falls, WI, indicates planned tower/antenna construction by Crown Castle USA - DDS. The filing requires at least 45 days notice before construction begins, suggestin",[],2026-03-20T03:31:40.482268,capital_projects
GOLIAD,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for GOLIAD, TX, indicates planned tower/antenna construction by Crown Castle USA - MG. The filing, dated 2026-03-18, requires at least 45 days notice before cons",[],2026-03-20T03:31:40.482268,capital_projects
McAllen,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for McAllen, TX, indicates planned tower/antenna construction by Crown Castle USA - DDS. The filing, dated March 16, 2026, details a proposed structure of 465 ft",[],2026-03-20T03:31:40.482268,capital_projects
SAN BENITO,notice,MEDIUM,faa_tower_filings,"This FAA Tower Filing for San Benito, TX, indicates a planned construction of a 111 ft AGL tower by AT&T. The filing is a precursor to potential infrastructure development, suggesting future opportuni",[],2026-03-20T03:31:40.482268,capital_projects
Tarpley,document,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Alta Towers in Tarpley, TX, indicates planned tower/antenna construction. The filing requires at least 45 days before construction start, suggesting potentia",[],2026-03-20T03:31:40.482268,capital_projects
Fairborn,document,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Fairborn, OH, indicates a planned tower/antenna construction project by NORTHSTAR TOWERS II, LLC. The filing, dated 2026-02-25, details a proposed structure ",[],2026-03-20T03:31:40.482268,capital_projects
Kenmare,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Montana-Dakota Utilities Co. in Kenmare, ND, signals planned tower/antenna construction. The filing, dated March 12, 2026, indicates a project requiring at l",[],2026-03-20T03:31:40.482268,capital_projects
Bismarck,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for a proposed 160 ft AGL structure in Bismarck, ND, by Hemphill, LLC, signals planned tower/antenna construction. This indicates potential infrastructure develo",[],2026-03-20T03:31:40.482268,capital_projects
Mandan,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing indicates planned tower/antenna construction activity in Mandan, ND, proposed by Hemphill, LLC. The filing requires at least 45 days notice before construction b",[],2026-03-20T03:31:40.482268,capital_projects
Norwood,notice,MEDIUM,faa_tower_filings,"This FAA Tower Filing for Norwood, NC, indicates planned tower/antenna construction activity by TowerCom IV-B, LLC. The filing requires at least 45 days notice before construction begins, suggesting p",[],2026-03-20T03:31:40.482268,capital_projects
Wallace,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Wallace, NC, indicates planned tower/antenna construction by TowerCom IV-B, LLC. The filing, dated March 19, 2026, details a 265 ft AGL structure and suggest",[],2026-03-20T03:31:40.482268,capital_projects
Morganton,document,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Morganton, NC, indicates planned tower/antenna construction by TowerCom IV-B, LLC. The filing, dated March 19, 2026, suggests potential utility infrastructur",[],2026-03-20T03:31:40.482268,capital_projects
Granite Falls,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Granite Falls, NC, indicates a planned tower construction project by TowerCom IV-B, LLC. The filing, dated March 19, 2026, requires at least 45 days notice b",[],2026-03-20T03:31:40.482268,capital_projects
Mt. Gilead,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing details a proposed new tower construction in Mt. Gilead, NC by TowerCom IV-B, LLC. The filing, dated March 19, 2026, indicates planned tower/antenna construction",[],2026-03-20T03:31:40.482268,capital_projects
Vale,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Vale, NC, indicates planned tower construction by SBA TOWERS. The filing, dated March 19, 2026, requires at least 45 days notice before construction begins, ",[],2026-03-20T03:31:40.482268,general_infrastructure
Broadway,notice,MEDIUM,faa_tower_filings,"This FAA tower filing for Broadway, NC, indicates planned tower/antenna construction by TowerCom IV-B, LLC. The filing requires at least 45 days notice before construction begins, suggesting upcoming ",[],2026-03-20T03:31:40.482268,transportation
Lillington,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Lillington, NC, indicates planned tower/antenna construction by SBA TOWERS. The filing requires at least 45 days notice before construction begins, suggestin",[],2026-03-20T03:31:40.482268,capital_projects
KALISPELL,document,MEDIUM,faa_tower_filings,"This FAA Tower Filing for Kalispell, MT, details a proposed 151 ft AGL structure by Crown Castle USA - MG. The filing indicates planned tower/antenna construction, which is a precursor to potential in",[],2026-03-20T03:31:40.482268,capital_projects
Trenton,notice,MEDIUM,faa_tower_filings,"This FAA tower filing for Trenton, MO, indicates planned tower/antenna construction by CELLCO PARTNERSHIP - C. The filing requires at least 45 days notice before construction begins, suggesting potent",[],2026-03-20T03:31:40.482268,capital_projects
Risco,notice,MEDIUM,faa_tower_filings,"This FAA tower filing for Risco, MO, indicates planned tower/antenna construction by CELLCO PARTNERSHIP - C. The filing, dated March 18, 2026, suggests potential infrastructure development and related",[],2026-03-20T03:31:40.482268,capital_projects
Marionville,document,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing details a proposed tower/antenna construction project in Marionville, MO, sponsored by TILLMAN INFRASTRUCTURE, LLC. The filing indicates planned infrastructure d",[],2026-03-20T03:31:40.482268,capital_projects
Rolla,notice,MEDIUM,faa_tower_filings,"This FAA Tower Filing indicates proposed tower/antenna construction by Array Digital Infrastructure in Rolla, MO. The filing requires at least 45 days notice before construction begins, suggesting upc",[],2026-03-20T03:31:40.482268,capital_projects
Marshall,notice,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing for Marshall, MO, indicates planned tower/antenna construction by CELLCO PARTNERSHIP - C. The filing requires at least 45 days notice before construction begins,",[],2026-03-20T03:31:40.482268,capital_projects
Bismarck,document,MEDIUM,faa_tower_filings,"This FAA Tower Filing for Bismarck, MO, indicates planned tower/antenna construction by VB-S1 ASSETS, LLC. The filing requires at least 45 days notice before construction begins, suggesting potential ",[],2026-03-20T03:31:40.482268,capital_projects
St. Louis,document,MEDIUM,faa_tower_filings,"This FAA Obstruction Evaluation Filing details a proposed Courion-C tower (157 ft AGL) in St. Louis, MO, sponsored by American Towers LLC. The filing, dated March 12, 2026, indicates planned tower con",[],2026-03-20T03:31:40.482268,general_infrastructure
Annapolis,notice,MEDIUM,faa_tower_filings,"This FAA tower filing for Annapolis, MO, indicates planned tower/antenna construction by Array Digital Infrastructure. The filing requires at least 45 days notice before construction begins, suggestin",[],2026-03-20T03:31:40.482268,capital_projects
Monett,notice,MEDIUM,faa_tower_filings,"This FAA Tower Filing for Monett, MO, indicates planned tower/antenna construction by Eagle Broadcasting, Inc. The filing, dated March 9, 2026, details a proposed structure of 243 ft AGL. This signals",[],2026-03-20T03:31:40.482268,transportation
NEW MADRID,notice,MEDIUM,faa_tower_filings,"This FAA Tower Filing indicates a proposed new tower/antenna construction project by AT&T in New Madrid, MO. The filing requires at least 45 days notice before construction begins, suggesting upcoming",[],2026-03-20T03:31:40.482268,capital_projects
DUNNEGAN,document,MEDIUM,faa_tower_filings,"This FAA Tower Filing for Dunnegan, MO, indicates planned tower/antenna construction by American Towers LLC. The filing requires at least 45 days notice before construction begins, suggesting upcoming",[],2026-03-20T03:31:40.482268,capital_projects
